,tweets,words,
72, @CrossMy_T_RELL nah man we had to go to Dothan hospital and this shit took all day we jus now leavin  ...,nah dothan hospital shit day jus leavin,Non-Medical
73, @stevie_nikki I'll be over their at the hospital later after work,ill hospital,Non-Medical
75, Scared just praying for the best. Waiting on doctor to call me bk. I hope baby is ok...,scared praying waiting doctor call bk hope baby ok,Non-Medical
76, Congrats!!!!  “@Breezyologist: Just got the good news from my doctor... I'm Pregnant!!!!!!!”,congrats news doctor pregnant,Non-Medical
78, As if going to the doctor wasn't bad enough the office was bought out by Duke Medicine so the computer is a slideshow of their campus #GTHD,doctor bad office bought duke medicine computer slideshow campus #gthd,Non-Medical
79, NHS may collapse unless elderly give up hospital beds – Health Minister http://t.co/xdBpS3CtuT,nhs collapse unless elderly hospital beds – health minister,Non-Medical
80, Doctor assisted homicide http://t.co/i6SoolTvJD,doctor assisted homicide,Non-Medical
82, At the doctor all I wanna do is sleep. Ughhh.,doctor wanna sleep ughhh,Non-Medical
83, So £150 for something that will only give me a few hours to get to hospital before I probably still DIE. Fuck you,hours hospital probably die fuck,Non-Medical
85, @drscrat true only some schools hv it.it was my plan-B aftr medical. @Dr_Solicitous,true schools hv itit planb aftr medical,Non-Medical
86, So excited to spend lunch crying in the Library and Doctor/Clara feels. http://t.co/U4KJOWEWsB,excited spend lunch crying library doctorclara feels,Non-Medical
88, #AskDemi Hi demi i'm actually at the hospital at the moment and I have a question...would you do a duet with one direction?,#askdemi hi demi actually hospital moment questionwould duet direction,Non-Medical
89, @Kirstyy93_ nan got rushed in hospital on sunday night didnt she:/ so she doesnt want risk it :(,nan rushed hospital sunday night didnt doesnt risk,Non-Medical
90," @HuffingtonPost Well, of course!  Doctor Who, he's always hanging out in London!",course doctor hes hanging london,Non-Medical
91, Starting to get annoying now so yes I have a bladder problem (medical) so now leave me alone :),starting annoying bladder medical leave,Non-Medical
92, My mom is making me do things like go to the doctor and cash my checks by myself ?? not ready to be a grown-up,mom doctor cash checks ready grownup,Non-Medical
93, Oh my goodness this old lady at the doctor is too cute???,oh goodness lady doctor cute,Non-Medical
94," @TogetherrWeCan but not so much that there friends are scared of loosing them,my friend said she's had nightmares of me on a hospital bed:(",friends scared loosing themmy friend shes nightmares hospital bed,Non-Medical
97," \well my mom is in the hospital…\"" RT @jharmrivers can never ask white people \""how you doing\"" without them telling u they whole life story""",mom hospital… white people telling life story,Non-Medical
100, Matt Smith is doing a movie for Ryan Gosling so there is the end of Doctor who we will be seeing a new Doctor Soon,matt smith movie ryan gosling doctor seeing doctor soon,Non-Medical
101, 2 doctor appointments today.. oh the joys of back problems.,doctor appointments oh joys,Non-Medical
103, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/VX6XfmrAWF,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
108, “@DoctorOfFezzes: Friend: I watched Doctor Who the other day. Me: Which one? What happened? Which Doctor? Friend: I don't know” @GabyPollard,friend watched doctor day happened doctor friend,Non-Medical
110, @Asad_Umar  Please let me know when Imran Khan is going to discharged from Hospital.,please imran khan discharged hospital,Non-Medical
111," On our way to the hospital to (hopefully) meet Grace.  We love you so much, and can't wait to share our joy with... http://t.co/7kr0rdYNm3",hospital hopefully meet grace love ca wait share joy,Non-Medical
112," You so tall what team do you play for? NO BITCH, I'm a doctor!",tall team play bitch doctor,Non-Medical
114, Ugh why do I keep spitting blood =( I'm not Trynna go back to that mf hospital,ugh spitting blood trynna mf hospital,Non-Medical
120, Telehealth boosts adherence to hypertension treatment - Join talk at: http://t.co/FvAg7QBCby,telehealth boosts adherence hypertension treatment join talk,Non-Medical
121, Do you know what a private medical escort (PME) is? http://t.co/vexOyoRRCl,private medical escort pme,Non-Medical
123, @karljoseph2468  are you okay .yusseuf died in hospital  because he wernt well. hope to see you soon xxx place <tweepy.models.Place object at 0x0292CE90>,okay yusseuf died hospital wernt hope soon xxx,Non-Medical
125, @alliedes4 @amanda_couture2  I got kicked out of the cancer ward in the local hospital yesterday.Apparently laughter isn't the best medicine,kicked cancer ward local hospital yesterdayapparently laughter medicine,Non-Medical
128," Recent Honor, Dr. Jeff Bowman – Health Tap Top Doctor Award http://t.co/mF5kmLs9Fr",recent honor dr jeff bowman – health tap top doctor award,Non-Medical
129," @Bossman_CC me either it scares me, I went to the doctor today for it. Lol",scares doctor lol,Non-Medical
133, Just laid in bed watching lost on my laptop in hospital #decent,laid bed watching lost laptop hospital #decent,Non-Medical
134, @PrettyMothafuca I know right but honestly street kush way better than medical #ImJustSayin,honestly street kush medical #imjustsayin,Non-Medical
135, @tobored_ CE TAVA NO HOSPITAL ?????????????????????????????????????????????????,ce tava hospital,Non-Medical
138, Boy: My GF is pregnant bt I used protection. . Doctor: 1 kahani suno... 1 shikari 1 din Gun ki jagah umbrella le... http://t.co/z4GvaZXj5m,boy gf pregnant bt protection doctor kahani suno shikari din gun ki jagah umbrella le,Non-Medical
140," Safe to say, I should go back to the doctor after these exams regardless if these make me better or not #Diechestpain",safe doctor exams regardless #diechestpain,Non-Medical
141, @Shelley1526 just have to see what the osteopath and the doctor says.,osteopath doctor,Non-Medical
144, :'( doctor here I come,doctor,Non-Medical
145, @AlyssaStettler *Resisting making a Doctor Who reference*,resisting doctor reference,Non-Medical
146, I'm genuinely scared to watch next week's Doctor Who.  The Doctor cannot go into his future. &gt;.&lt;,genuinely scared watch weeks doctor doctor future gtlt,Non-Medical
147, My mom would say that the hospital needs a nail salon in the hospital for people waiting and in airports ?,mom hospital nail salon hospital people waiting airports,Non-Medical
149, On embarrassing bodies there's a doctor pretending to type whilst looking at a sunset wallpaper screen,embarrassing bodies theres doctor pretending type whilst looking sunset wallpaper screen,Non-Medical
152," What this doctor did was murder... and the courts got it right finding him guilty.  In spite of, or because of,... http://t.co/cEfEPzJd0s",doctor murder courts finding guilty spite,Non-Medical
153, Circle of hell: being sucked into CBS daytime TV in a musty hospital waiting room. #BecomingNumb http://t.co/wp22AKG2tm,circle hell sucked cbs daytime tv musty hospital waiting #becomingnumb,Non-Medical
155," How many nurses does it take to change a light bulb? None, they just have a nursing assistant do it. As much as the doctor orders.",nurses change light bulb none nursing assistant doctor,Non-Medical
156, i wanna go on sims but i also wanna watch doctor who and they both require my laptop #dilemma,wanna sims wanna watch doctor require laptop #dilemma,Non-Medical
157, Headed to the doctor to check on my sweet angel???,headed doctor check sweet angel,Non-Medical
158," I should've brought my suitcase to the doctor with me, because it doesn't seem like I'll be leaving any time soon.",brought suitcase doctor ill leaving time soon,Non-Medical
159, xxxyoloswagxxx: i really like matt smith’s doctor but i really don’t like moffat’s doctor who do u see what... http://t.co/wCYXzU06WH,xxxyoloswagxxx matt smith’ doctor don’ moffat’ doctor,Non-Medical
162," \I liked everything about the medical services I received. It was a great experience!\""""",liked medical services received experience,Non-Medical
165," \They didn't even book you niggas rooms! I told 'em Harlem Hospital was giving beds out!\""""",book niggas told em harlem hospital giving beds,Non-Medical
166," \When the doctor said the baby was a girl. I told your mommy she will look just.like.her.\""""",doctor baby girl told mommy look justlikeher,Non-Medical
170, Heading up to the hospital in a few,heading hospital,Non-Medical
171, At hospital,hospital,Non-Medical
173," Asylum was just every other episode of Doctor Who right down to the shitty \the monster of the week is zombies again\""""",asylum episode doctor shitty monster week zombies,Non-Medical
174, I can't wait for The Name of the Doctor. Looks so amazing. But I won't be able to watch it live- until 10 in the evening. #doctorwhoproblems,ca wait name doctor looks amazing wo able watch live evening #doctorwhoproblems,Non-Medical
178, DOCTOR WHO USED TO BE THE HIGHLIGHT OF MY SATURDAYS what happened these episodes are so amazing and just ugh ):,doctor highlight saturdays happened episodes amazing ugh,Non-Medical
180, Drunk ASU student left at hospital with Post-it http://t.co/ah4dSvzsOp  another dumbass ASU situation,drunk asu student left hospital postit dumbass asu situation,Non-Medical
181, Learn how to exploit the hidden potential of Life Science and Medical Device markets in BRIC http://t.co/t9Hc1f5HQX,learn exploit hidden potential life science medical device markets bric,Non-Medical
184, Weird. RT @pauldehnerjr: James Harrison said he has six doctor/masseuse types that live w/ him.,weird james harrison six doctormasseuse types live,Non-Medical
185, Interesting way to end the day in a hospital bed #inpain,day hospital bed #inpain,Non-Medical
186, i wont go to the brain doctor you can't make me,wont brain doctor ca,Non-Medical
187, Just now leaving Richard Bradford's hospital room. Lots of work to do but he's in good spirits. #pray,leaving richard bradfords hospital lots hes spirits #pray,Non-Medical
189, Latest arts news: Jackson described as 'loopy' after doctor visits http://t.co/MlwsskyoeW,arts news jackson described loopy doctor visits,Non-Medical
190, @alpkisbet doctor who,doctor,Non-Medical
191, Medical myth: Flatlining patients can be shocked back to life http://t.co/lib5bUWRzq via @medical_xpress #nurses #nursing #health,medical myth flatlining patients shocked life via #nurses #nursing #health,Non-Medical
192, I'm so freaking glad that man pretending to be a doctor was found guilty. I am so sad for those poor babies. People are sick!,freaking glad pretending doctor found guilty sad poor babies people sick,Non-Medical
193," #NOLA boy Mark Duplass boards medical thriller \Reawakening\"": http://t.co/HmCYYiP43i""",#nola boy mark duplass boards medical thriller reawakening,Non-Medical
194," unlocked Doctor Who Countdown to the Season Finale: 4 Days  Stickers ,increased Stickers to 5045 on  Ge.. http://t.co/uFzNJKbgtA via @achivy",unlocked doctor countdown season finale days stickers increased stickers ge via,Non-Medical
199, That outfit is straight out a bad doctor who episode @bbceurovision,outfit straight bad doctor episode,Non-Medical
200, hate coming to this doctor period !,hate coming doctor period,Non-Medical
202," Jews of Justice, Superman and Doctor Who:  The creative duo of Jerry Seigel and Joe Shuster have given North ... http://t.co/Bcw7mTZsei",jews justice superman doctor creative duo jerry seigel joe shuster north,Non-Medical
205, I'm watching General Hospital (288 are watching) http://t.co/1awdr4XtPe #GetGlue @GeneralHospital,watching hospital watching #getglue,Non-Medical
207, C.R. Bard pays $48M to settle lawsuit in Georgia: New Jersey medical products company C.R. Bard Inc. will pay the... http://t.co/RanqRqVB8C,cr bard pays settle lawsuit georgia jersey medical products company cr bard inc pay,Non-Medical
209," \@Mike_Stud: Bank lollipops &gt;\"" for unknown reasons",bank lollipops gt unknown reasons doctor lollipops,Non-Medical
210, I hope this illness outbreak caused by the relish will lead to some intense storyline for the hospital. I miss my Patrick in doc mode. #GH,hope illness outbreak caused relish lead intense storyline hospital miss patrick doc mode #gh,Non-Medical
211, @ashleegerow so I guess you are a doctor and a very skilled swordsman?,guess doctor skilled swordsman,Non-Medical
212, congratulations hun !!!!!!! “@Breezyologist: Just got the good news from my doctor... I'm Pregnant!!!!!!!”,congratulations hun news doctor pregnant,Non-Medical
213, @twon_nation no sir im back closer to home working at the hospital!!! Wby,sir im closer home hospital wby,Non-Medical
214," Been home from the hospital for a while, it feels good to be home. place <tweepy.models.Place object at 0x0291F550> coordinates {u'type': u'Point', u'coordinates': [-86.1639949, 43.2126065]}",home hospital feels home,Non-Medical
215," Also also, Matt Smith, the Doctor, and angry cyber Doctor could all get it.",matt smith doctor angry cyber doctor,Non-Medical
216," Green Day x Actions REALized Decks, Children's Hospital Oakland http://t.co/80bTL2MPrp",green day actions realized decks childrens hospital oakland,Non-Medical
217, Doctor: how did you dislocate your pelvis Me: twerking too hard,doctor dislocate pelvis twerking hard,Non-Medical
222," Find this Job&amp;More Bio Medical Technician I - Flowers Hospital -  Dothan, AL: Bio Medical Technician I - 13231...  http://t.co/UCiibmw40e",jobampmore bio medical technician flowers hospital dothan al bio medical technician,Non-Medical
224," Why don't my friends live near me, I'm just here, near a mental hospital, wanting a mate",friends live near near mental hospital mate,Non-Medical
225," At the eye doctor, they took me out of the main waiting room to wait in a smaller waiting room. #why #torture place <tweepy.models.Place object at 0x0291F2B0> coordinates {u'type': u'Point', u'coordinates': [-85.6506957, 42.9710662]}",eye doctor main waiting wait waiting # #torture,Non-Medical
227," Doctor visits are da best, notttttt. https://t.co/EOIA3laXdX",doctor visits da notttttt httpstcoeoia3laxdx,Non-Medical
229, Went to doctor today...told me i probably have a hormonal issue. I SWEAR I FELT LIKE HE JUST TOLD ME THAT I WAS A WYVERN IN HEAT OMFG.,doctor todaytold probably hormonal issue swear told wyvern heat omfg,Non-Medical
230, my hunnie went to the hospital:( http://t.co/BwWh4xHR5b,hunnie hospital,Non-Medical
231, @LesIsMore82 Watched a Dateline special a few yrs ago abt ppl w/student loans. Rich doctor couple said that they'll never pay theirs back.,watched dateline special yrs ago abt ppl wstudent loans rich doctor couple theyll pay,Non-Medical
232, @cyd_simmons Yes Cyd. i'm also the love doctor.,cyd love doctor,Non-Medical
236, @becca_coleman why you at the hospital,hospital,Non-Medical
237, @SaraE_Robinson @castjohn @dtinthedale hahahahaha. We can't do too much damage at the hospital or pazzo's lol,hahahahaha ca damage hospital pazzos lol,Non-Medical
238, http://t.co/4LVFPbFBGp.  Tequila strikes again????,tequila strikes,Non-Medical
241, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/PZ63uU89pS,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
245, ooh hot doctor on Holby,ooh hot doctor holby,Non-Medical
246," @lucyloser_ still sore tomorrow, back to the doctors for me!!! That's me missed 3 exams due to feeling crap/hospital!!!!",sore tomorrow doctors thats missed exams due feeling craphospital,Non-Medical
248," @Mungle yeah I did thanks, im most likely going to miss the morning though cause I have hospital x",yeah thanks im miss morning cause hospital,Non-Medical
251, just cause of one cunt of a doctor,cause cunt doctor,Non-Medical
252, I needa go to the doctor &amp; just act how I always act &amp; let them put me on some meds..,needa doctor act act meds,Non-Medical
253, Days full of doctor appointments,days doctor appointments,Non-Medical
254, Khi: Orangi Town 6/E Main Firing Say 1 Shakhs Halak Shit To Abbasi Hospital   M OWAIS_KJF 9:41pm,khi orangi town main firing shakhs halak shit abbasi hospital owaiskjf,Non-Medical
257," And the daleks at their full strength, with the doctor trapped, ask for help",daleks strength doctor trapped help,Non-Medical
260, My Medical Choice http://t.co/cp4BCWOeiy,medical choice,Non-Medical
261," Where's her handle RT @Yennie_F: Y'all should follow this naughty bae, a model and medical student, crazu and fun ... http://t.co/22YLFN1xJt",wheres handle yall follow naughty bae model medical student crazu fun,Non-Medical
262, @kittystryker @transstingray this was a therapist (don't know if they were a doctor) substituting feel-good platitudes for treatment,therapist doctor substituting feelgood platitudes treatment,Non-Medical
263, Medical University Studies in Langley http://t.co/3cO6rPBIoC,medical university studies langley,Non-Medical
264, My mom is scaring the shit outta me saying that I may have to go to the hospital for my burn on my forearm #idlikeit,mom scaring shit outta saying hospital burn forearm #idlikeit,Non-Medical
268, I liked a @YouTube video http://t.co/msbPNJI34Y The Doctor &amp; Rose • My Immortal Love,liked video doctor rose • immortal love,Non-Medical
270," Vicodin-addicted former Miss Russia allowed to look for medical jobs: judge: Oh, nyet! A Vicodin-addict... http://t.co/Kx9pI9HaCC #bronx",vicodinaddicted former miss russia allowed look medical jobs judge oh nyet vicodinaddict #bronx,Non-Medical
271, #NW Doctor who :D,#nw doctor,Non-Medical
272," If anyone is in need of medical help, I will do all that I can, even if the person is a stranger. Everyone deserves good health. #bot",medical help person stranger deserves health #bot,Non-Medical
278," Nothin better than knowing I am officially 5'9\ maybe doctor's visit aren't that bad! Woop!""",nothin knowing officially maybe doctors visit bad woop,Non-Medical
279, Thanks to @Clara_Maass Medical Center in #Belleville #NJ for allowing us to stop by today and spread the word about #Health and #Fitness,thanks medical center #belleville #nj allowing stop spread word #health #fitness,Non-Medical
280, @Digihealthgems @nealcpatel @drarcox likewise. One patient interview in hospital and one in community pharmacy I think. Wasn't enough.,likewise patient interview hospital community pharmacy,Non-Medical
281," @cornucopiaotat Also, Small Ginger has reminded me: It's \Doctor\""",ginger reminded doctor dr hes indignant,Non-Medical
283, @JamesCruick @jono_247 @ClaireGee20 your a guarantee smashed drunk running by pool bang...hospital!,guarantee smashed drunk running pool banghospital,Non-Medical
284, I'm having to keep a food diary to give to my doctor and now I realise how bad my diet actually is ...,food diary doctor realise bad diet actually,Non-Medical
286, @Wh0rg4sm_ it's people like that why I would hate to work an a hospital!,people hate hospital,Non-Medical
287, @CharWarren1 @megan_polston doctor theatre will be in char (mr Harvs words),doctor theatre char harvs words,Non-Medical
288," The Doctor Who finale on Saturday night is my reward for the English exam on Friday. Thanks BBC, always got my back...",doctor finale saturday night reward english exam friday thanks bbc,Non-Medical
289, Pharmacy Discount Network Donate Rx Help To Vernon Hills Medical Center By Charles Myrick - http://t.co/kuzCnRmbvS,pharmacy discount network donate rx help vernon hills medical center charles myrick,Non-Medical
290, Still holding onto a beer even on his way to the hospital. #truebadger @RicoBarrionuevo http://t.co/wvbW3vsaLI,holding onto beer hospital #truebadger,Non-Medical
292, If you want a doctor I'll examine every inch of you.,doctor ill examine inch,Non-Medical
295, This doctor needa bring her/his ass.,doctor needa bring herhis ass,Non-Medical
297," @lizfl33 @caliviaMcbamfan I don't think he's really Stephen's brother, and I think he's just pretending to be a doctor. That's my opinion.",hes stephens brother hes pretending doctor thats opinion,Non-Medical
299," Altaf bahi, fells ill.Doctor's advise him to shut his mouth.Treatment of Altaf bahi's verbal diriah going on.",altaf bahi fells illdoctors advise shut mouthtreatment altaf bahis verbal diriah,Non-Medical
301," This doctor is not only bad, she's mad sweet too. But young nigga.",doctor bad shes mad sweet nigga,Non-Medical
302, Walk up to the hospital and my family votes me out of the two that are allowed to stay by the room. #Salty,walk hospital family votes allowed stay #salty,Non-Medical
303, My Medical Choice http://t.co/gFKmirci8N,medical choice,Non-Medical
304, Hospital Mergers Reset Reproductive Rights Access Battle http://t.co/zQvBkgWyyF &lt;half of beds in Washington will be Catholic if mergers ok'd,hospital mergers reset reproductive rights access battle lthalf beds washington catholic mergers okd,Non-Medical
306," @PriyaTheFarmah I watched it when David was Doctor, and then got Christoper's box set... but can't get into Matt... but like the new girl",watched david doctor christopers box set ca matt girl,Non-Medical
309, @QweenFit been resting the past 3 days! My mom's fixing to take me to the hospital..,resting past days moms fixing hospital,Non-Medical
313," Recipient of the $1,000 BEPC Scholarship is Mathew Gerlach of Plankinton SD. Mathew plans to attend the USD to major in medical biology.",recipient bepc scholarship mathew gerlach plankinton sd mathew plans attend usd major medical biology,Non-Medical
314, My daddy in the hospital...,daddy hospital,Non-Medical
315," Top story: My Medical Choice http://t.co/2cZzjXryMb, see more http://t.co/k1Bkypzw0x",top story medical choice,Non-Medical
316," Smokin' 47 blunts a day like true Rastas, The blunt doctor So if you got a minor cough Mary Jane can fix your lungs up proper.",smokin blunts day true rastas blunt doctor minor cough mary jane fix lungs proper,Non-Medical
317, @teresaluvz U &amp; Li'l Ms. Brooklyn Rae Silzer #cutestkidEvr #StellarStars &lt;3 #GH4LIFE TV loves me back I watch General Hospital #ViggleTV#GH,lil ms brooklyn rae silzer #cutestkidevr #stellarstars lt3 #gh4life tv loves watch hospital #viggletv#gh,Non-Medical
322, @Courtney_Bass im your 3rd doctor,im doctor,Non-Medical
324," My #humanexperiences today include seeing the future, with #smggoogle being an android &amp; visiting hospital for tropical diseases. #eclectic",#humanexperiences include seeing future #smggoogle android visiting hospital tropical diseases #eclectic,Non-Medical
326, Wearing a gown in hospital brings back memories!! #GetYourBumOut,wearing gown hospital brings memories #getyourbumout,Non-Medical
327, So perfect - Vincent and the Doctor yarn: https://t.co/nYQaV95XHL,perfect vincent doctor yarn httpstconyqav95xhl,Non-Medical
328," Can't wait for Doctor Who this weekend, it looks FANTASTIC!",ca wait doctor weekend looks fantastic,Non-Medical
330, @mwawie ha ha...i aint hatin...they sound medical,ha hai aint hatinthey sound medical,Non-Medical
331, Okay let's get this doctor's appointment over with. I'm tired of the anxiety of what might happen. Just ready for some answers.,okay doctors appointment tired anxiety happen ready answers,Non-Medical
334, I hate to be sick. but now Seriously in need of a doctor,hate sick seriously doctor,Non-Medical
335," She makes my heart happy. I praise The Lord for her. @ North Mississippi Medical Center http://t.co/0MO8IuJgpH place <tweepy.models.Place object at 0x0291F650> coordinates {u'type': u'Point', u'coordinates': [-88.71613206, 34.24169131]}",makes heart happy praise lord north mississippi medical center,Non-Medical
337, @StamfordHosp broke ground today for its new hospital!  Story to come on @irstamford. http://t.co/uj43FnihnX,broke ground hospital story,Non-Medical
340, My Doctor Who ringtone makes me happy!,doctor ringtone makes happy,Non-Medical
341, what if A Day to Remember were trying to warn the Doctor about weeping angels with the lyrics to \I'm made of Wax,day remember trying warn doctor weeping angels lyrics wax larry #doctorwho,Non-Medical
343, I got the best birthday gift ever. We brought Addi home from the hospital today!,birthday gift brought addi home hospital,Non-Medical
344," Why did I sit down?! Runnin on 5 hrs still gotta go to target, pick up lil sis from school, the gym, Mike's, n then the hospital! #exhausted",sit runnin hrs gotta target pick lil sis school gym mikes hospital #exhausted,Non-Medical
345," The Doctor (Doctor Who) vs Godzilla, who will win? GO!",doctor doctor vs godzilla win,Non-Medical
346," @JillStanek @PPFAQ \Abortion is one of the safest medical procedures in America\"" not for the millions of babies killed it isn't.""",abortion safest medical procedures america millions babies killed,Non-Medical
347, Live tweeting my doctor's appointment. Just dropped the bombshell that I've been taking gummy vitamins instead of real ones. Headed downhill,live tweeting doctors appointment dropped bombshell taking gummy vitamins instead real ones headed downhill,Non-Medical
348, 3 Will Win a Bottle of OraMD All Natural Liquid Toothpaste/Freshener on @TwoClassyChics Ends 5/26 #Giveaways #spon http://t.co/2R0nMzG5ot,win bottle oramd natural liquid toothpastefreshener #giveaways #spon,Non-Medical
350, Everytime I go to my doctor's office I always feel bad that I have a stack of forms I need to be filled out. Why can't hospitals use 1 form?,everytime doctors office feel bad stack forms filled ca hospitals form,Non-Medical
352," The doctor said I'm perfectly healthy! But omg I didn't know I weighted as much as I do. It's all this ASS, HIPS, &amp; THIGHS!! #Brickhouse lol",doctor perfectly healthy omg weighted ass hips thighs #brickhouse lol,Non-Medical
353," Okay so once my PS3 updates, I'm watching an episode of Doctor Who, painting my nails, and I need to find my missing money and go thrifting.",okay ps3 updates watching episode doctor painting nails missing money thrifting,Non-Medical
355, Was Anjelina Jolie Medically Hexed? - @Lissarankin shares her medical opinion -   http://t.co/AhcpefiHoB &lt; mind/body connection is powerful!,anjelina jolie medically hexed shares medical opinion lt mindbody connection powerful,Non-Medical
356," @darthtjader the Gelth have opened the rift! DOCTOR, WE NEED YOU!!",gelth rift doctor,Non-Medical
360, Overnight in hospital is pooey but so happy now ive seen @FatHoee,overnight hospital pooey happy ive seen,Non-Medical
362, We've been best friends for 10 years and this is the first time over ever Hurd you burp @EmilyHall_xx ! It's a Tuesday medical!,friends time hurd burp tuesday medical,Non-Medical
367, Who ever is ringing me off withheld I think you sound go to the doctor pritty soon????,ringing withheld sound doctor pritty soon,Non-Medical
368, Everybody At The Doctor !!,doctor,Non-Medical
369," Top story: My Medical Choice http://t.co/eLf9ELTrVW, see more http://t.co/UNjKA3hMFz",top story medical choice,Non-Medical
370, I hit my doctor. Oops,hit doctor oops,Non-Medical
372, My Medical Choice http://t.co/DQPrKWwwD0,medical choice,Non-Medical
375, Healthcare in a Mobile World #Hospital #EMR #EHR http://t.co/1rCEJAYNVT http://t.co/3yf2QhsCY0,healthcare mobile world #hospital #emr #ehr,Non-Medical
377, @Cristiano but after Hospital I am careful with meals Not to much Fat Love Chinese Food and missing American Crab,hospital careful meals fat love chinese food missing american crab,Non-Medical
