,Tweets,words,
69, The anxiety relief of clonazepam with the delightful chalky sweetness of marzipan. Clonmarzipan! Ask your doctor or local baker for details.,anxiety relief clonazepam delightful chalky sweetness marzipan clonmarzipan doctor local baker details,Medical
74, @liviaadalby Do you want us to call a doctor for you? Actually our doctor only prescribes a new pair of Keds each time he sees a patient!,call doctor actually doctor prescribes pair keds time patient,Medical
77, Foot doctor swag,foot doctor swag,Medical
84, Pretty sure someone is going into cardiac arrest and nobody working at this hospital cares.,pretty cardiac arrest hospital cares,Medical
87, My doctor is the best...ever.,doctor bestever,Medical
96, Sitting at this hospital tho..,sitting hospital tho,Medical
98, Avita Medical and ReCell Spray-on Skin Featured in SFV Business Journal http://t.co/yjKVpcc37D,avita medical recell sprayon skin featured sfv business journal,Medical
102, @MaggieAmada Like wise. I haven't been keeping up with the last two seasons so I'm not as good of a Doctor Who fan as I should be. :(,wise keeping seasons doctor fan,Medical
104," My Medical Choice, by Angelina Jolie http://t.co/70LT89csHd joli texte !",medical choice angelina jolie joli texte,Medical
105," The doctor is so adorable, he kissed Amy's forehead &lt;3333",doctor adorable kissed amys forehead lt3333,Medical
106, http://t.co/niGass94ci - such a powerful story. Thank you Angelina Jolie,powerful story thank angelina jolie,Medical
107," RT @christine bravely done, whether you're famous or not. Angelina Jolie: My Medical Choice http://t.co/Ae6MCX2i2k",bravely famous angelina jolie medical choice,Medical
109, I need to go to the doctor and see why I'm so horny. He will probably tell me I just need some dick??lol,doctor horny probably tell dicklol,Medical
113, @navystriped my doctor told me to start eating meat again :( I can't get enough protein/iron from other sources,doctor told start eating meat ca proteiniron sources,Medical
118, It always helps when you have a hot doctor,helps hot doctor,Medical
119," @ConceptKerrie drank an awful lot of alcohol,we need to drain it out of your system\the doctor says gently xx""",drank awful lot alcoholwe drain systemthe doctor gently xx,Medical
122, Gotta Go To The Other Part Of The Hospital &lt;&lt;&lt;,gotta hospital ltltlt,Medical
124, This nurse legitimately just made a joke when the doctor said he'd diagnosed me with depression as a child.,nurse legitimately joke doctor hed diagnosed depression child,Medical
126," Oh crap MGK was in the hospital for gettin in an accident place <tweepy.models.Place object at 0x0292CBD0> coordinates {u'type': u'Point', u'coordinates': [-75.46269276, 40.62275352]}",oh crap mgk hospital gettin accident,Medical
127, In the hospital this really sucks!,hospital sucks,Medical
132, #AnAppleADay keeps the doctor away. #perfect #classy.\,#anappleaday doctor #perfect #classy,Medical
136, @MissKayleighMay 1 of ya 5 a day to keep the doctor away ;D x,ya day doctor,Medical
137," I'm at Overlook Medical Center (Summit, NJ) http://t.co/DDw79yOLR1 place <tweepy.models.Place object at 0x0291F630> coordinates {u'type': u'Point', u'coordinates': [-74.35385882, 40.71244067]}",overlook medical center summit nj,Medical
139, Natalie en doctor tv &lt;3 &lt;3,natalie doctor tv lt3 lt3,Medical
143," Ashs checkup for school Ashley (@ Children's Hospital Of Philadelphia Care Network Pediatric &amp; Adolescent Care) http://t.co/SwAiwHaN1u place <tweepy.models.Place object at 0x0292CFF0> coordinates {u'type': u'Point', u'coordinates': [-74.87916664, 39.97803292]}",ashs checkup school ashley childrens hospital philadelphia care network pediatric adolescent care,Medical
148, @deanlemon - tweeting from ma hospital bed and guess what it was ma birthday :'( a follow from you would be an amazing gift for me x,tweeting ma hospital bed guess ma birthday follow amazing gift,Medical
150, @forgotten_malik ((Is he still in the hospital?)),hospital,Medical
151," 'when people start hating on doctor who, im like \oh look its a tree",people start hating doctor im oh look tree nice tree,Medical
154," You know what... when you fight to take medical marijuana away from cancer patients, maybe you got some bad karma comin'. #DOJ",fight medical marijuana cancer patients maybe bad karma comin #doj,Medical
160, Why would you go on tv to tell everyone you have erectile dysfunction though why not just go to a normal doctor,tv tell erectile dysfunction normal doctor,Medical
161, How could that daft woman at the hospital not feel the bone sticking out my nose,daft woman hospital feel bone sticking nose,Medical
163, My Medical Choice by Angelina Jolie - http://t.co/PjmBOCD5fc http://t.co/GScS00M2KM,medical choice angelina jolie,Medical
164, High Point Man Arrested After Seeking Treatment At The Same Hospital As The Woman He Sexually Assaulted --  http://t.co/hPJgOf53XZ,arrested seeking treatment hospital woman sexually assaulted,Medical
167, I liked a @YouTube video http://t.co/fWnc57DO84 Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
168," If u want total security, go 2 prison. There yr fed, clothed, given medical care &amp; so on. The only thing lacking.. is freedom.  -Eisenhower",total security prison yr fed clothed medical care lacking freedom eisenhower,Medical
169, Really looking forward for doctor who on Saturday,looking forward doctor saturday,Medical
172, My Bizarro cartoon post for today discusses experimental medical therapy that could benefit us all. http://t.co/EmYC7R4qqi,bizarro cartoon post discusses experimental medical therapy benefit,Medical
175, \Oh,oh neurons ’ cowboys ten complete rejects doctor inside mind,Medical
177," If u want total security, go 2 prison. There yr fed, clothed, given medical care &amp; so on. The only thing lacking.. is freedom.  -Eisenhower",total security prison yr fed clothed medical care lacking freedom eisenhower,Medical
179," The Greatest Medical Fraud in History - The Pain, Profit and Politics of AIDS http://t.co/PCRaem9NtC via @youtube",medical fraud history pain profit politics aids via,Medical
183, Found this little guy at Tyler's eye doctor @YoungChicken_1 http://t.co/UMboXPhuNb,found little guy tylers eye doctor,Medical
195, I'm going to eat and if I'm still dizzy my dad  wants me to go the hospital. Ugh. I officially quit today.,eat dizzy dad hospital ugh officially quit,Medical
196, Doctor I keep thinking I'm a bee. Buzz off can't you see I'm busy?,doctor thinking bee buzz ca busy,Medical
197, Breaking News: #Norwalk Washington Trust Finances $9.2 Million Norwalk CT Medical Building http://t.co/HraAvmlq6x,breaking news #norwalk washington trust finances million norwalk ct medical building,Medical
198, @JesseHatfield34 did you go to the hospital,hospital,Medical
201, These calles from the hospital,calles hospital,Medical
203, I needa go to the hospital soon.,needa hospital soon,Medical
208, I think its hella funny adding my words to my medical words lol,hella funny adding words medical words lol,Medical
218," \Anxiety\"" &amp; \""sleep problems\"" does not seem like a critical enough health problem to own a medical marijuana card. Just my opinion! Oh Cali.""",anxiety sleep critical health medical marijuana card opinion oh cali,Medical
219, @SourceRyan I like him as the doctor. He'll have interaction with all different ppl instead of just the police station ppl. Good move! #GH,doctor hell interaction ppl instead police station ppl move #gh,Medical
220, At the doctor with my kid?? http://t.co/ctSHVJdenh,doctor kid,Medical
221, I HATE CUMMIN 2 THE DOCTOR,hate cummin doctor,Medical
223, Next time I will go to urgent care at least they get me in and out and take care of business unlike my own doctor. Smh. #??,time urgent care care business unlike doctor smh #,Medical
226, @Keds_UK that sounds like an AMAZING doctor.,sounds amazing doctor,Medical
233, Man shoots himself at Ariz. hospital emergency room following shooting of another man at store http://t.co/2YPKhmouEo,shoots ariz hospital emergency following shooting store,Medical
235," Oregon House passes hospital tax, but it's still part of Senate PERS debate  http://t.co/u0Lbc7MAav",oregon house passes hospital tax senate pers debate,Medical
239, @rhianbrownx sorry I didn't get in touch tonight. Watson hospital with my friend and now I'm in bed disabled because I've hurt my back ????,sorry touch tonight watson hospital friend bed disabled hurt,Medical
240, Legislation in Oregon would require parents to meet with a doctor or watch a government-sanctioned video on... http://t.co/zBopVl29kf,legislation oregon require parents meet doctor watch governmentsanctioned video,Medical
243, I hope whoever RH is falls in love with Sam and woos her away from that doctor. #gh,hope whoever rh falls love sam woos doctor #gh,Medical
244," Andrew Garfield in Doctor Who, yes please",andrew garfield doctor please,Medical
249, @SenMartyGolden shout out 2 Lutheran medical trauma center. I got hit w/ a foul ball above eye 11 stitches &amp;my sight back!  staff was great!,shout lutheran medical trauma center hit foul ball eye stitches ampmy sight staff,Medical
250, @SexyFeistyEvi @LilKBerry I'm I... supposed to take you to the hospital? *nervous*,supposed hospital nervous,Medical
255," Going to the doctor, yay.",doctor yay,Medical
256, Is this doctor gonna come in any time soon ?,doctor gonna time soon,Medical
258," F****** hell, another new hot doctor! #Holby",hell hot doctor #holby,Medical
265, @DrWhoHere no we don't and i know that me and you do and i know that you can listen to what i want but me and the other Doctor just have --,listen doctor,Medical
266," My Medical Choice http://t.co/zuHfZthalE, touching op-ed piece from @angelinajolie #angelinajolie",medical choice touching oped piece #angelinajolie,Medical
267," @aziamorgan Jenny's gonna be like \oh you always have a medical excuse blah blah blah\""""",jennys gonna oh medical excuse blah blah blah,Medical
273," @Steph_FVK Kinda, like, something different will happen to each guy but they all end up needing hospital treatment I can't cope",kinda happen guy hospital treatment ca cope,Medical
274, corrrrr new Doctor on #holbycity,corrrrr doctor #holbycity,Medical
275, MMJ MEDICAL STUDY Inhaled Cannabis Reduces Crohn’s Symptoms http://t.co/o9FlvDebw4,mmj medical study inhaled cannabis reduces crohn’ symptoms,Medical
282, Post hospital checkup (@ UTMB Pediatrics) http://t.co/4VX9saoUXT,post hospital checkup utmb pediatrics,Medical
285, Doctor Flow Once Again......But Our Little Blessing Is Worth It! We're Just Gonna Give Baby J The… http://t.co/CYVMEp1Buc,doctor flow againbut little blessing worth gonna baby …,Medical
291, Doctor said bout 15 minutes,doctor bout minutes,Medical
293, NO. I WILL NOT GO TO THE DOCTOR.,doctor,Medical
294, I did not know as a bio major I could go to a CNA training class and become certified then work at the hospital.,bio major cna training class certified hospital,Medical
296, Everytime I see a fucking hospital band on my dads wrist I get mad as fuck,everytime fucking hospital band dads wrist mad fuck,Medical
298, Mmm new doctor on holby,mmm doctor holby,Medical
300, @AwkwardAshlers People showing doctors their gross medical problems (usually penis or fat related) live on TV.,people doctors gross medical usually penis fat related live tv,Medical
305, @lamepaynes one time my doctor was convinced I was pregnant even though I was like I'm really NOT I hate the sexually active questions,time doctor convinced pregnant hate sexually active questions,Medical
307, I'm glad I'm not dying or in the hospital..!,glad dying hospital,Medical
310," Top story: My Medical Choice http://t.co/SELHV0Vmc7, see more http://t.co/gg6BKlAOU5",top story medical choice,Medical
311," During the 2011 and 2012 dunes seasons, emergency medical service (EMS) calls increased from 328 to 407; while... http://t.co/pxRbMiB6rw",dunes seasons emergency medical service ems calls increased,Medical
312," Hospital Corpsman 1st Class Darrel L. Enos, (Posthumously Awarded), the U.S. Navy 2013 Hero of Military Medicine... http://t.co/YzD2W4gjQA",hospital corpsman class darrel enos posthumously awarded navy hero military medicine,Medical
318," Fashion And Fitness Top story: My Medical Choice http://t.co/zL57nuUy3G, see more http://t.co/NP4f93XQZX",fashion fitness top story medical choice,Medical
319, U scored 038 in utme nd u want 2 study medicine. u're nt evn qualified to 2 b a native doctor...,scored utme nd study medicine nt evn qualified native doctor,Medical
321, Every time I go to the eye doctor: \ Ma'am,time eye doctor maam qualified legally blind,Medical
325," Top story: My Medical Choice http://t.co/Gt3Nr5SNWp, see more http://t.co/ewhzAOG4o2",top story medical choice,Medical
329," Great article by Angelina Jolie. Very brave. http://t.co/muDUkNrdDV place <tweepy.models.Place object at 0x0292CEF0> coordinates {u'type': u'Point', u'coordinates': [8.464176, 49.484443]}",article angelina jolie brave,Medical
332, @BeeBecF the whole premise is that they're too embarrassed to go to the doctor. bizarre.,premise embarrassed doctor bizarre,Medical
333," “@lejeanet: um.. Angelina jolie is at the beverly hills hospital right now... im going there with flowers” ur so weird. place <tweepy.models.Place object at 0x0291F750> coordinates {u'type': u'Point', u'coordinates': [-79.48789839, 43.61162711]}",um angelina jolie beverly hills hospital im flowers ur weird,Medical
336, Just used a rug doctor for the first time. I do believe I've gone mad with power!,rug doctor time believe gone mad power,Medical
338, #Employment Oppurtunity: UCLA #Research/Medical Assistant position with #LA #HPTN073 research team. https://t.co/VaAJeckUV5,#employment oppurtunity ucla #researchmedical assistant position #la #hptn073 research team httpstcovaajeckuv5,Medical
339," Top story: My Medical Choice http://t.co/vDCpuWBTtF, see more http://t.co/2n7XJeJhuk",top story medical choice,Medical
349," Top Tweet: My Medical Choice http://t.co/xIKdtslPUQ, see more http://t.co/0vlf7dlldg",top medical choice,Medical
357, I'm really tempted to watch Doctor Who without my parents then rewatch it with them. #nothingontv,tempted watch doctor parents rewatch #nothingontv,Medical
358, I have the hottest eye doctor,hottest eye doctor,Medical
359, Walcott with the hospital ball. ??,walcott hospital ball,Medical
363," I got Maybe, only a doctor can tell on \Are you Depressed? *UPDATED*\"" http://t.co/G9XS73yDLz""",maybe doctor tell depressed updated,Medical
365," Top story: My Medical Choice http://t.co/eEWhgofbk7, see more http://t.co/vhlIrTR7lI",top story medical choice,Medical
371," I don't want to know the doctors real name, its better not knowing to be honest! If you know it, why call it Doctor Who anymore??",doctors real name knowing honest call doctor anymore,Medical
373, Made a mess at the hospital http://t.co/wjJKuIRNni,mess hospital,Medical
374," If only so that I can  get a better view, you’re so incredible, one of a kind, high power like the medical a wonderful high.",view ’re incredible power medical wonderful,Medical
380, @nurfettahfan I`we been today at doctor so you know..:),iwe doctor,Medical
384, @mandoskirata @erincandy Your medical knowledge is both laughable and frightening.  Stop making children.,medical knowledge laughable frightening stop children,Medical
385, Wow! Angelina Jolie on breast cancer: My Medical Choice http://t.co/7dzO63DTE2,wow angelina jolie breast cancer medical choice,Medical
386, Wisconsin seniors hit with medical alarm scam http://t.co/03vxU8cPNH,wisconsin seniors hit medical alarm scam,Medical
392, You scored 38 in JAMB and you want to study medicine. My dear you're not even qualified to be a native doctor =D,scored jamb study medicine dear qualified native doctor,Medical
395, I want ah personal doctor.,ah personal doctor,Medical
396," RT @MikkoAlanne Angelina Jolie's beautiful, brave, empowering account in The New York Times for women everywhere: http://t.co/UL8vFNk3ff",angelina jolies beautiful brave empowering account york times women,Medical
398," // I'm driving, and I have a doctor's appt in 45 minutes, but I'll reply when I can...",driving doctors appt minutes ill reply,Medical
402," Lady doctor asked me about coach Arnett , he famous !",lady doctor coach arnett famous,Medical
403, Armed Forces Services Corporation is looking for: Non Medical Case Manager http://t.co/lo5DofK5d8 #job,armed forces services corporation looking medical manager #job,Medical
405, My Medical Choice by Angelina Jolie http://t.co/6fcJX1DtXL,medical choice angelina jolie,Medical
406, Angelina Jolie reveals her decision to undergo a double mastectomy. My Medical Choice http://t.co/3ksMntcrDW,angelina jolie reveals decision undergo double mastectomy medical choice,Medical
410, hiddlesmcgiggles: (what if in the season finale we find out what the doctor saw in his room in The God... http://t.co/5qo6bw9J6y,hiddlesmcgiggles season finale doctor god,Medical
412, @SaintEverard Church is like a hospital - it is a safe haven for the hurting,church hospital safe haven hurting,Medical
417, Somebody start a goofy #Trend.  I'm bored here at the hospital.   #HospitalsSuck,start goofy #trend bored hospital #hospitalssuck,Medical
420, Doctor Who Celebrates 50th Anniversary at Vivid Sydney http://t.co/1KDk2RfHzT,doctor celebrates anniversary vivid sydney,Medical
423, In addition to my working as a psychiatrist in my private practice (NW Psychiatric Group) I also specialize in medical informatics.,addition psychiatrist private practice nw psychiatric specialize medical informatics,Medical
424," @bbcpress @BBCOne @bbcdoctorwho I don't 'do' Doctor Who, but call me when you reach Doctor 13. I have a fantastic idea. place <tweepy.models.Place object at 0x0292CE30> coordinates {u'type': u'Point', u'coordinates': [-1.9868201, 52.952924]}",doctor call reach doctor fantastic idea,Medical
425, TEST: Catalyst Medical Center &amp; Clinical Spa Chemical Peel ($105 value) for $50.00 &gt; FM Daily Deal http://t.co/2BNoD5ulsU via @sharethis,test catalyst medical center clinical spa chemical peel value gt fm daily deal via,Medical
427," #NIGERIA Pennsylvania doctor, 72, arrested after killing four babies: A Pennsylvania doctor… http://t.co/JzvM2PlEdm",#nigeria pennsylvania doctor arrested killing babies pennsylvania doctor…,Medical
431, #NurChat trying to make the most out of a hospital environment to provide dementia friendly care,#nurchat trying hospital environment provide dementia friendly care,Medical
433," Hate seeing people I love in the hospital place <tweepy.models.Place object at 0x0292CF50> coordinates {u'type': u'Point', u'coordinates': [-95.98661936, 28.98285732]}",hate seeing people love hospital,Medical
437, @abbeygood2013 do you wanna pick up or trade me today 6- 10:30.. i feel horrible and im going to try to go to the doctor,wanna pick trade feel horrible im try doctor,Medical
440, The only thing I like about this doctor is the free wifi :)))))),doctor free wifi,Medical
444, Of course with my luck I end up with a complete Christian doctor,course luck complete christian doctor,Medical
445, @Celestial0220 ugh ohhhh! Be careful with that. Ask your doctor if he can give you anything for your morning sickness.,ugh ohhhh careful doctor morning sickness,Medical
447, I've heard stories about some patients at the hospital.. I just don't want to remember.. May god heel them.,heard stories patients hospital remember god heel,Medical
448," Look at you, mr im too sick to do a suicide bombing, he got a note from his doctor its a suicide bombing!!",look im sick suicide bombing note doctor suicide bombing,Medical
450, Okay I'm seriously done talking about doctor who,okay seriously talking doctor,Medical
453," I always feel sleepy inside of a hospital. Way to relaxed. (@ Memorial Hospital West) http://t.co/M7nojVh7tz place <tweepy.models.Place object at 0x0291F5D0> coordinates {u'type': u'Point', u'coordinates': [-80.3104377, 26.01229562]}",feel sleepy inside hospital relaxed memorial hospital west,Medical
455, \In the beginning we see Clara in the 60s,beginning clara understand doctor met clara times jlc,Medical
456, @Joshsedman ah you in hospital?,ah hospital,Medical
457," Smoking lots of marijuana lowers risk for bladder cancer, doctor says - Washington Times: http://t.co/7nM5TZZ1Mp via @washtimes",smoking lots marijuana lowers risk bladder cancer doctor washington times via,Medical
458, Jus realised I've been in hospital like 3 times in the last year..,jus realised hospital times,Medical
459, Going to the hospital for an ultrasound??? I didnt know I was pregnant! #WhosTheFather #OhSnap,hospital ultrasound didnt pregnant #whosthefather #ohsnap,Medical
462, trust me to park in the furthest away car park from the hospital ward. I am soaked.,trust park furthest car park hospital ward soaked,Medical
463, I've been waiting forever for the doctor though. Not cool.,waiting forever doctor cool,Medical
468," If the industry continues to blossom, medical marijuana could net a fair number of jobs for Arizona. http://t.co/Gy5v0ilxAd",industry continues blossom medical marijuana net fair jobs arizona,Medical
469," Without integrated care within five years we risk another Mid Staffs, warns government http://t.co/UiDgoVz4OP #Medical #Journals",integrated care five risk mid staffs warns government #medical #journals,Medical
473, The Board of Supervisors proclaims May 19-25 as Emergency Medical Services week in Roanoke County. #roa #rke,board supervisors proclaims emergency medical services week roanoke county #roa #rke,Medical
476, Wow! Would you do this to prevent #breast #cancer? http://t.co/iGPIL5MXrA #AngelinaJolie,wow prevent #breast #cancer #angelinajolie,Medical
478, Doctor Who isn't as good as it used to be :(,doctor,Medical
483," My doctor, the comedian once said ........ \WTF is that?\""""",doctor comedian wtf,Medical
488, @Phoenixhouse @_TheFix No its prescription that means the doctor is responsible for what drugs she has access to,prescription means doctor responsible drugs access,Medical
489, I liked a @YouTube video http://t.co/6DT9dbjryT Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
492," @Rpo92 I know and they go \ too scared to go my doctor\"" fuck off #cunts""",scared doctor fuck #cunts,Medical
495, A brillant op-Ed piece by #AngelinaJolie: My Medical Choice http://t.co/CNgGLvWopc,brillant oped piece #angelinajolie medical choice,Medical
496, Holby City is the most inaccurate representation of hospital life I've ever seen. Doctors and nurses aren't that bloody cheery.,holby city inaccurate representation hospital life seen doctors nurses bloody cheery,Medical
501, How long do you have to wait to be ignored by a doctor?,wait ignored doctor,Medical
505, a RT a day keeps the doctor away,day doctor,Medical
506, “@Kaceee_: My daddy in the hospital...” What happen ? He okaay ?,daddy hospital happen okaay,Medical
508, The writers of #Castle were definitely made to send me to the hospital every single year. Another season is over. Another heart attack.,writers #castle definitely send hospital single season heart attack,Medical
512," Oooh, new doctor;D @HannahFarnish",oooh doctord,Medical
513, Mom is in the hospital. Again. Not on life support again yet at least. #prayers please &lt;3,mom hospital life support #prayers please lt3,Medical
515, My Medical Choice http://t.co/huH0nRB2kk ..it takes a lot of courage to make such a decision #respect,medical choice takes lot courage decision #respect,Medical
516, Check out our new video: Choosing the Right Medical Technology http://t.co/2BnHr0Sdlu,check video choosing medical technology,Medical
517, and then my ass wonder why the doctor said I'm overweight.,ass wonder doctor overweight,Medical
518," Breast cancer survivor and Largo Medical Center employee, Marie Venida, being interviewed by WFLA Newschannel 8... http://t.co/E2cyqjo4Rp",breast cancer survivor largo medical center employee marie venida interviewed wfla newschannel,Medical
519, At the hospital for xrays :$,hospital xrays,Medical
524, @bigfinish @WhoFrazer @tuckerspatch Is that the Nick Wallace who wrote Fear Itself for the Eighth Doctor?,nick wallace wrote fear eighth doctor,Medical
527, @KealaMonique_ if I find something to wear I guess ill go I just got out the hospital myself,wear guess ill hospital,Medical
530, I reckon The Doctor's real name is Dot Cotton,reckon doctors real name dot cotton,Medical
536, I could be a doctor if u want one ya know,doctor ya,Medical
538, Nawaz Sharif meets Imran Khan in hospital. Says let's play a friendly match once you get better. Game before the games begin?,nawaz sharif meets imran khan hospital play friendly match game games begin,Medical
543, Ummm I have 4 family members in the hospital! One with brain cancer and three with congestive heart failure. FML,ummm family hospital brain cancer congestive heart failure fml,Medical
544, @DopeBlunts: Its for my medical condition. Commonly know as I-get-high-a-lot-itis. ,medical condition commonly igethighalotitis ,Medical
545," If I went to the doctor and said “My knee hurts” and he said “Lets do a CT scan on your good knee, just to be safe” I’d be pissed.",doctor knee hurts ct scan knee safe ’ pissed,Medical
546," @lornaemily_ babysitting pretty much all day while my mum goes to see my nanna, she got rushed into hospital :/",babysitting pretty day mum goes nanna rushed hospital,Medical
548, If you're having a baby over the summer come to Howard Hospital and ask for Mina so I can deliver it lol,baby summer howard hospital mina deliver lol,Medical
552, Nawaz to Imran: Ghussa thook dou. Khan did so shortly after Sharif left his hospital room. #NawazSharif #PTI,nawaz imran ghussa thook dou khan shortly sharif left hospital #nawazsharif #pti,Medical
561, I liked a @YouTube video http://t.co/ImsMWoaH8U Man Cuts off Arm - Drives Ten Miles to Hospital!,liked video cuts arm drives ten miles hospital,Medical
562," Social Media Marketing Advice, According To Doctor Who - Forbes http://t.co/bHV6XOrwqV",social media marketing advice according doctor forbes,Medical
567, @safdarmehmood1 I m bit surprised too! let IK come out of hospital then he has to face this question,bit surprised ik hospital question,Medical
570," Female coworker refers to her Vaj as a beaver. Her OBGYN is a \Beaver Doctor\"" I could NEVER get away with saying these things. So jealous""",female coworker refers vaj beaver obgyn beaver doctor saying jealous,Medical
575," @johnwalterseip I'm still boycotting ABC although I support General Hospital.  Other than that, the crap network can continue down the drain",boycotting abc support hospital crap network continue drain,Medical
579, “@NOT_Chinese: “@Kaceee_: My daddy in the hospital...” What happen ? He okaay ?” Idk? I think so..,daddy hospital happen okaay idk,Medical
584," @citizentvkenya is it possible mathari hospital be corrected, it should be mathare hospital, its being confused with mathari hosi in Nyeri..",mathari hospital corrected mathare hospital confused mathari hosi nyeri,Medical
586, Just got lectured on how I should be applying to medical school. :/ #help,lectured applying medical school #help,Medical
588, Hate the doctor,hate doctor,Medical
590, civilrights St. Jude Hospital was the first integrated hospital in the southeast and provided shelter to 2000 civilrights marchers:...,civilrights st jude hospital integrated hospital southeast provided shelter civilrights marchers,Medical
591, Taylor Squared feels. HELP ME WHERES MY DOCTOR. I CANT BREATE. http://t.co/v15EZktgep,taylor squared feels help wheres doctor cant breate,Medical
592, I'm finally back from the hospital.  Thanks everyone for the support,finally hospital thanks support,Medical
594, hes so cute in the hospital beddd,hes cute hospital beddd,Medical
597, I always feel so blind at the eye doctor,feel blind eye doctor,Medical
599, ALL I WANTED TO DO WAS WATCH DOCTOR WHO AND HE HAD TO GO AND MOCK MY WHINE,watch doctor mock whine,Medical
605, I was like nah I got to go to the doctor....I was lying like mf .,nah doctori lying mf,Medical
606, The Cost of Medical Emergencies with the Aflac Real Cost Calculator http://t.co/DByyjKSolW via @CleverHousewife,cost medical emergencies aflac real cost calculator via,Medical
607, I forgot all about my doctor's appointment today...,forgot doctors appointment,Medical
609, My Medical Choice http://t.co/EBnOh9gRms (Angelina Jolie),medical choice angelina jolie,Medical
620," 1 in 12 Canadian adults in hospital have MRSA or another superbug, study finds http://t.co/WdcP06IxXS",canadian adults hospital mrsa superbug study,Medical
621, Fuck sake. If the hospital hadn't fucked around with my appointments for my fucking knee I could have played in the last game for the team.,fuck sake hospital fucked appointments fucking knee played game team,Medical
624, I hate the eye doctor smh,hate eye doctor smh,Medical
626, Dad is in the hospital..,dad hospital,Medical
627, Man detained for bus stop stabbings: A man is given an indefinite hospital order after admitting stabbing two ... http://t.co/EZVltTqiVi,detained bus stop stabbings indefinite hospital admitting stabbing,Medical
629, “@MinaWorldPeace: If you're having a baby over the summer come to Howard Hospital and ask for Mina so I can deliver it lol” bet it,baby summer howard hospital mina deliver lol bet,Medical
